Number of Individual,Calendar Month,Latitude,Longitude
2,2019-FEB,37.521154,-122.005618
2,2019-FEB,37.521323,-121.983954
2,2019-FEB,37.521325,-121.968131
2,2019-FEB,37.521329,-121.933794
1,2019-FEB,37.52134,-121.983938
6,2019-FEB,37.521366,-122.005451
2,2019-FEB,37.521379,-121.952666
2,2019-FEB,37.521391,-121.957483
2,2019-FEB,37.521423,-121.977546
2,2019-FEB,37.521498,-121.955989
1,2019-FEB,37.521539,-121.967773
2,2019-FEB,37.521561,-121.9758
2,2019-FEB,37.521598,-121.967806
1,2019-FEB,37.521658,-121.977365
2,2019-FEB,37.521716,-122.011156
1,2019-FEB,37.521779,-121.953752
5,2019-FEB,37.521826,-122.005946
2,2019-FEB,37.52184,-121.961596
2,2019-FEB,37.521895,-121.950474
1,2019-FEB,37.521922,-122.00739
1,2019-FEB,37.521942,-121.967363
2,2019-FEB,37.522023,-121.976438
2,2019-FEB,37.522043,-121.959943
3,2019-FEB,37.522086,-121.969227
3,2019-FEB,37.522095,-121.969229
3,2019-FEB,37.522107,-122.007654
2,2019-FEB,37.522133,-121.955981
1,2019-FEB,37.522138,-122.006229
4,2019-FEB,37.522191,-122.010264
2,2019-FEB,37.522217,-122.005987
5,2019-FEB,37.522256,-121.971088
2,2019-FEB,37.522287,-121.930052
5,2019-FEB,37.522313,-121.953915
2,2019-FEB,37.522385,-121.96132
1,2019-FEB,37.522435,-122.008877
1,2019-FEB,37.522484,-121.956568
2,2019-FEB,37.522513,-121.956162
3,2019-FEB,37.522588,-122.009983
4,2019-FEB,37.522625,-121.961726
1,2019-FEB,37.522631,-121.984439
2,2019-FEB,37.522743,-121.956369
1,2019-FEB,37.522766,-122.013782
2,2019-FEB,37.522772,-122.012622
1,2019-FEB,37.522925,-121.960865
1,2019-FEB,37.522935,-121.953997
1,2019-FEB,37.522944,-122.011753
1,2019-FEB,37.522968,-121.960528
2,2019-FEB,37.523097,-121.985375
5,2019-FEB,37.523108,-121.954007
3,2019-FEB,37.523273,-121.971972
3,2019-FEB,37.523296,-121.955317
1,2019-FEB,37.523299,-121.955185
1,2019-FEB,37.523326,-121.982887
1,2019-FEB,37.523423,-122.012703
1,2019-FEB,37.52343,-122.013687
1,2019-FEB,37.523477,-122.011136
1,2019-FEB,37.523527,-121.971554
2,2019-FEB,37.523606,-121.986187
2,2019-FEB,37.523687,-121.974289
3,2019-FEB,37.523746,-122.008817
1,2019-FEB,37.523796,-122.010605
1,2019-FEB,37.523835,-122.010957
1,2019-FEB,37.523894,-121.975661
2,2019-FEB,37.523911,-122.015418
1,2019-FEB,37.523927,-121.95216
4,2019-FEB,37.523999,-121.973504
4,2019-FEB,37.524089,-121.951981
3,2019-FEB,37.524095,-122.042639
2,2019-FEB,37.524105,-121.963711
2,2019-FEB,37.524132,-121.988416
1,2019-FEB,37.524171,-121.983376
1,2019-FEB,37.524201,-121.951663
1,2019-FEB,37.524246,-121.951695
1,2019-FEB,37.524248,-122.042343
2,2019-FEB,37.524261,-121.97402
2,2019-FEB,37.524263,-122.044142
4,2019-FEB,37.524311,-121.989228
2,2019-FEB,37.524315,-121.988676
2,2019-FEB,37.524328,-122.040971
4,2019-FEB,37.524395,-122.008715
3,2019-FEB,37.524401,-121.955605
1,2019-FEB,37.524457,-121.97172
1,2019-FEB,37.524475,-122.041043
3,2019-FEB,37.524489,-121.954757
1,2019-FEB,37.524527,-122.041441
1,2019-FEB,37.524535,-121.989023
1,2019-FEB,37.524628,-121.989243
1,2019-FEB,37.524695,-122.042385
3,2019-FEB,37.524702,-122.040117
3,2019-FEB,37.524759,-121.918702
1,2019-FEB,37.524763,-122.012716
1,2019-FEB,37.524772,-121.974012
4,2019-FEB,37.524784,-121.978028
2,2019-FEB,37.524793,-121.987388
3,2019-FEB,37.52481,-122.039798
1,2019-FEB,37.524841,-122.041952
2,2019-FEB,37.524869,-122.011927
1,2019-FEB,37.524879,-121.962839
1,2019-FEB,37.524893,-121.977602
1,2019-FEB,37.524898,-121.982031
1,2019-FEB,37.524914,-121.988947
1,2019-FEB,37.524916,-121.978289
1,2019-FEB,37.524937,-122.039862
1,2019-FEB,37.524957,-121.954121
1,2019-FEB,37.524965,-122.013198
1,2019-FEB,37.524988,-122.049306
1,2019-FEB,37.524997,-121.99001
1,2019-FEB,37.525037,-121.972898
2,2019-FEB,37.525049,-122.042761
1,2019-FEB,37.52506,-121.932933
1,2019-FEB,37.525079,-121.955504
1,2019-FEB,37.525115,-122.011772
1,2019-FEB,37.525117,-122.014284
5,2019-FEB,37.525129,-121.97534
2,2019-FEB,37.525152,-122.038573
1,2019-FEB,37.525164,-121.981827
1,2019-FEB,37.525224,-122.014182
2,2019-FEB,37.525234,-122.040777
1,2019-FEB,37.52526,-121.97211
1,2019-FEB,37.525273,-121.99073
2,2019-FEB,37.525325,-121.953349
1,2019-FEB,37.52538,-121.96235
2,2019-FEB,37.525409,-122.049003
1,2019-FEB,37.525421,-122.018342
1,2019-FEB,37.525429,-122.038144
1,2019-FEB,37.52544,-122.042968
2,2019-FEB,37.525472,-122.037792
2,2019-FEB,37.525474,-122.014378
1,2019-FEB,37.525542,-122.039844
1,2019-FEB,37.525561,-121.958206
2,2019-FEB,37.525584,-122.03972
2,2019-FEB,37.525588,-121.954725
7,2019-FEB,37.525632,-122.044478
5,2019-FEB,37.525665,-122.042042
1,2019-FEB,37.525677,-122.04915
1,2019-FEB,37.525687,-121.991251
1,2019-FEB,37.5257,-121.978235
1,2019-FEB,37.525753,-121.991619
2,2019-FEB,37.525842,-121.977116
3,2019-FEB,37.525867,-121.920429
3,2019-FEB,37.525878,-121.957068
6,2019-FEB,37.525886,-122.037941
1,2019-FEB,37.525916,-122.051052
1,2019-FEB,37.525917,-121.954326
1,2019-FEB,37.525935,-121.92739
5,2019-FEB,37.525942,-122.040763
3,2019-FEB,37.525962,-121.972471
1,2019-FEB,37.52598,-121.980414
2,2019-FEB,37.525983,-122.049955
2,2019-FEB,37.525996,-121.992039
4,2019-FEB,37.526002,-122.048951
4,2019-FEB,37.526008,-122.042225
2,2019-FEB,37.526029,-121.970506
5,2019-FEB,37.526066,-121.990946
1,2019-FEB,37.526067,-121.984559
2,2019-FEB,37.526068,-121.928421
3,2019-FEB,37.526082,-122.040837
8,2019-FEB,37.5261,-121.9706
15,2019-FEB,37.5261,-121.9705
1,2019-FEB,37.526149,-122.047968
6,2019-FEB,37.526149,-122.044756
1,2019-FEB,37.526201,-121.950053
1,2019-FEB,37.52623,-122.044799
5,2019-FEB,37.52624,-122.037766
3,2019-FEB,37.526246,-122.045183
2,2019-FEB,37.5263,-122.045211
1,2019-FEB,37.526334,-122.049795
1,2019-FEB,37.526347,-121.977132
1,2019-FEB,37.526348,-121.978152
1,2019-FEB,37.526364,-122.053738
1,2019-FEB,37.526396,-122.046311
2,2019-FEB,37.526427,-121.957359
5,2019-FEB,37.526439,-122.041027
9,2019-FEB,37.5265,-121.9704
2,2019-FEB,37.526503,-122.039647
3,2019-FEB,37.526507,-122.03834
1,2019-FEB,37.526517,-122.045326
1,2019-FEB,37.526542,-121.956143
3,2019-FEB,37.526548,-122.038362
1,2019-FEB,37.526577,-122.040724
2,2019-FEB,37.526584,-122.046787
5,2019-FEB,37.5266,-121.9707
1,2019-FEB,37.5266,-121.9706
1,2019-FEB,37.526602,-121.978532
2,2019-FEB,37.526614,-121.977019
2,2019-FEB,37.526635,-121.960384
2,2019-FEB,37.526636,-122.017898
3,2019-FEB,37.526685,-122.039366
5,2019-FEB,37.526698,-122.047822
2,2019-FEB,37.5267,-121.9706
